Voltage(V)	Current(A)
-17.30		1.63
-17.20		1.65
-17.10		1.66
-17.00		1.68
-16.90		1.70
-16.80		1.71
-16.70		1.73
-16.60		1.74
-16.50		1.76
-16.40		1.78
-16.30		1.79
-16.20		1.81
-16.10		1.82
-16.00		1.84
-15.90		1.86
-15.80		1.87
-15.70		1.89
-15.60		1.90
-15.50		1.92
-15.40		1.94
-15.30		1.95
-15.20		1.97
-15.10		1.98
-15.00		2.00
-14.90		2.02
-14.80		2.04
-14.70		2.06
-14.60		2.08
-14.50		2.10
-14.40		2.12
-14.30		2.14
-14.20		2.16
-14.10		2.18
-14.00		2.20
-13.90		2.22
-13.80		2.24
-13.70		2.26
-13.60		2.28
-13.50		2.30
-13.40		2.32
-13.30		2.34
-13.20		2.36
-13.10		2.38
-13.00		2.40
-12.90		2.42
-12.80		2.44
-12.70		2.46
-12.60		2.48
-12.50		2.50
-12.40		2.52
-12.30		2.54
-12.20		2.56
-12.10		2.58
-12.00		2.60
-11.90		2.62
-11.80		2.64
-11.70		2.66
-11.60		2.68
-11.50		2.70
-11.40		2.72
-11.30		2.74
-11.20		2.76
-11.10		2.78
-11.00		2.80
-10.90		2.82
-10.80		2.84
-10.70		2.86
-10.60		2.88
-10.50		2.90
-10.40		2.92
-10.30		2.94
-10.20		2.96
-10.10		2.98
-10.00		3.00
-9.90		3.02
-9.80		3.04
-9.70		3.06
-9.60		3.08
-9.50		3.10
-9.40		3.12
-9.30		3.14
-9.20		3.16
-9.10		3.18
-9.00		3.20
-8.90		3.22
-8.80		3.24
-8.70		3.26
-8.60		3.28
-8.50		3.30
-8.40		3.32
-8.30		3.34
-8.20		3.36
-8.10		3.38
-8.00		3.40
-7.90		3.42
-7.80		3.44
-7.70		3.46
-7.60		3.48
-7.50		3.50
-7.40		3.52
-7.30		3.54
-7.20		3.56
-7.10		3.58
-7.00		3.60
-6.90		3.62
-6.80		3.64
-6.70		3.66
-6.60		3.68
-6.50		3.70
-6.40		3.72
-6.30		3.74
-6.20		3.76
-6.10		3.78
-6.00		3.80
-5.90		3.82
-5.80		3.84
-5.70		3.86
-5.60		3.88
-5.50		3.90
-5.40		3.92
-5.30		3.94
-5.20		3.96
-5.10		3.98
-5.00		4.00
-4.90		4.02
-4.80		4.04
-4.70		4.06
-4.60		4.08
-4.50		4.10
-4.40		4.12
-4.30		4.14
-4.20		4.16
-4.10		4.18
-4.00		4.20
-3.90		4.22
-3.80		4.24
-3.70		4.26
-3.60		4.28
-3.50		4.30
-3.40		4.32
-3.30		4.34
-3.20		4.36
-3.10		4.38
-3.00		4.40
-2.90		4.42
-2.80		4.44
-2.70		4.46
-2.60		4.48
-2.50		4.50
-2.40		4.52
-2.30		4.54
-2.20		4.56
-2.10		4.58
-2.00		4.60
-1.90		4.62
-1.80		4.64
-1.70		4.66
-1.60		4.68
-1.50		4.70
-1.40		4.72
-1.30		4.74
-1.20		4.76
-1.10		4.78
-1.00		4.80
-0.90		4.82
-0.80		4.84
-0.70		4.86
-0.60		4.88
-0.50		4.90
-0.40		4.92
-0.30		4.94
-0.20		4.96
-0.10		4.98
0.00		5.00
0.10		5.02
0.20		5.04
0.30		5.06
0.40		5.08
0.50		5.10
0.60		5.12
0.70		5.14
0.80		5.16
0.90		5.18
